LSOA11CD,average_price,airbnb_density,Price_Change,People per Sq Km,Income Score (rate),hotel_density,tourist_attraction_density,AvPTAI2015
E01000020,13.0,40945101526.53036,5.113636363636364,10053.4188034188,0.216,0.0,0.0,6.75302
E01000021,60.6,270146126265.31708,11.805555555555555,10354.400472534,0.23,0.0,0.0,4.86539
E01000022,,,16.96869851729819,11247.0771628995,0.195,0.0,0.0,6.39859
E01000023,149.54545454545453,578515969645.4767,56.99999999999999,18624.5173745174,0.228,0.0,0.0,7.01491
E01000024,172.0,60309927697.67522,29.558823529411764,11936.2363919129,0.155,0.0,0.0,7.43551
E01000025,150.0,102482574211.61723,12.808641975308642,10912.6466753585,0.219,0.0,0.0,5.75121
E01000027,117.0,10403487566.27669,26.86567164179105,1240.42048151916,0.216,0.0,0.6746281304851952,3.85844
E01000028,140.0,104804311272.39618,-0.967741935483871,11808.066759388,0.26,0.0,0.0,3.01489
E01000029,139.42857142857142,213321451082.8562,9.740259740259742,7022.18762164266,0.113,0.0,0.0,2.5171
E01000030,62.5,54378992798.65347,21.28,8365.3510303877,0.264,0.0,0.0,4.82101
E01000031,158.83333333333334,82264824963.27298,17.5,2106.69828097214,0.126,0.0,0.0,4.07693
E01000032,77.66666666666667,121996161318.5542,44.73684210526316,5219.70705725699,0.146,0.0,0.0,6.6856
E01000033,101.5,108074965639.48924,8.333333333333332,10894.7006194081,0.257,0.0,0.0,3.91504
E01000034,42.25,74906135127.02348,34.36734693877551,3181.46417445483,0.216,0.0,0.0,3.51145
E01000035,105.4,234769958413.472,16.37239165329053,4671.36741374969,0.15,0.0,0.0,6.7778
E01000036,60.0,53858194006.65196,23.134328358208958,3518.03200382135,0.112,17952731335.55065,0.0,7.34586
E01000037,215.0,64953424766.00481,13.725490196078432,8016.28106255356,0.096,0.0,0.0,2.32273
E01000038,72.0,36331631850.40158,25.2054794520548,6644.85981308411,0.127,0.0,0.0,8.36135
E01000039,43.0,5057727665.298934,22.595419847328245,1122.20916568743,0.127,0.0,0.0,1.99736
E01000040,40.0,45588710242.89661,,10556.5319273579,0.218,0.0,0.0,9.00812
E01000041,57.0,101777378287.58376,21.774193548387096,11861.0747051114,0.172,0.0,0.0,5.72093
E01000042,95.6,166333726560.52548,-14.653784219001611,8750.0,0.263,0.0,0.0,8.48745
E01000043,105.5,87274666106.50732,9.329446064139942,5750.75075075075,0.147,0.0,0.0,7.26782
E01000044,94.2,265395046353.23004,21.21212121212121,12051.5826494725,0.133,0.0,0.0,8.7118
E01000045,75.0,180341484032.93542,24.87644151565074,6047.60308414348,0.188,0.0,0.0,7.08704
E01000046,125.0,49137225850.7163,15.66265060240964,12443.729903537,0.17,0.0,0.0,6.09177
E01000048,96.0,241062770885.4011,,13570.3245749614,0.341,0.0,0.0,8.13742
E01000049,153.2,216839894741.58997,,8543.82657869934,0.29,0.0,0.0,7.73561
E01000050,95.2,391042423879.673,-8.557625948930296,14335.5119825708,0.176,0.0,0.0,23.446
E01000051,148.68421052631578,2580702795784.585,,15307.3463268366,0.234,0.0,0.0,13.4392
E01000052,87.66666666666667,230904129891.22684,23.754152823920265,11547.3209814722,0.188,0.0,0.0,7.91239
E01000053,120.0,86682591067.73537,,8993.91929242676,0.229,0.0,0.0,5.84284
E01000054,60.0,180499923018.74103,38.240574506283664,11419.3925233645,0.18,0.0,0.0,6.31438
E01000055,,,27.3015873015873,11705.4794520548,0.211,0.0,0.0,7.7862
E01000056,43.2,155014609463.21313,5.833333333333333,6818.55500821018,0.197,31002921892.642628,0.0,1.62771
E01000057,,,29.471890971039183,10528.0974949221,0.196,0.0,0.0,9.98087
E01000058,41.75,169456516076.81332,23.47826086956522,11125.1372118551,0.199,0.0,0.0,7.25869
