LSOA code,Price_Change
E01000259,13.382899628252787
E01000260,19.565217391304348
E01000261,36.231884057971016
E01000262,1.4285714285714286
E01000263,76.95961995249407
E01000264,50.37593984962406
E01000265,6.666666666666667
E01000266,22.56267409470752
E01000267,18.0
E01000268,1.643835616438356
E01000269,18.571428571428573
E01000270,56.63265306122449
E01000271,-30.747126436781606
E01000272,56.38766519823789
E01000273,4.468085106382979
E01000274,9.565217391304348
E01000275,-3.571428571428571
E01000276,11.76470588235294
E01000277,18.441558441558442
E01000278,26.60206314473273
E01000279,
E01000280,1.4851485148514851
E01000281,-15.076256354696223
E01000282,28.076923076923077
E01000283,26.31578947368421
E01000284,11.11111111111111
E01000285,-19.101123595505616
E01000286,6.18436406067678
E01000287,31.11111111111111
E01000288,24.324324324324326
E01000289,-18.333333333333332
E01000290,73.8562091503268
E01000291,28.842105263157897
E01000292,-34.76070957656054
E01000293,19.25925925925926
E01000294,-10.295616717635065
E01000295,-9.208819714656292
E01000296,-44.717444717444714
E01000297,12.941176470588237
E01000298,4.787234042553192
E01000299,4.705882352941177
E01000300,-3.9831179108414667
E01000301,-1.1695906432748537
E01000302,-7.834101382488479
E01000303,34.47761194029851
E01000304,34.801762114537446
E01000305,12.733084709643046
E01000306,11.940298507462686
E01000307,
E01000308,-1.5486725663716814
E01000309,100.92592592592592
E01000310,-20.18348623853211
E01000311,13.043478260869565
E01000312,1.5822784810126582
E01000313,-1.5073529411764706
E01000314,34.718100890207715
E01000315,
E01000316,-4.545454545454546
E01000317,23.456790123456788
E01000318,10.616438356164384
E01000319,110.1010101010101
E01000320,70.68062827225131
E01000321,17.51904243743199
E01000322,13.333333333333334
E01000323,-8.88888888888889
E01000324,20.87912087912088
E01000325,22.941822173435785
E01000326,22.88135593220339
E01000327,23.809523809523807
E01000328,11.724137931034482
E01000329,4.559748427672956
E01000330,17.557251908396946
E01000331,28.49162011173184
E01000332,24.087591240875913
E01000333,-9.915254237288137
E01000334,36.0
E01000335,33.26923076923077
E01000336,33.33333333333333
E01000337,21.84426229508197
E01000338,12.4555
E01000339,20.56737588652482
E01000340,12.012987012987013
E01000341,25.466666666666665
E01000342,23.7375330492484
E01000343,27.10843373493976
E01000344,22.786304604486425
E01000345,21.176470588235293
E01000346,29.357798165137616
E01000347,28.307692307692307
E01000348,10.13215859030837
E01000349,25.0
E01000350,5.204872646733112
E01000351,22.666666666666664
E01000352,-18.581560283687942
E01000353,28.923766816143498
E01000354,11.519607843137255
E01000355,27.597617471872933
E01000356,23.837209302325583
E01000357,18.88888888888889
E01000358,4.651162790697675
E01000359,20.22222222222222
E01000360,9.174041297935103
E01000361,37.87991104521868
E01000362,-33.44407026485847
E01000363,43.25581395348837
E01000364,20.826500491964577
E01000365,29.09090909090909
E01000366,22.70408163265306
E01000367,38.111888111888106
E01000368,31.147540983606557
E01000369,21.641791044776117
E01000370,24.675324675324674
E01000371,25.757575757575758
E01000372,29.23728813559322
E01000373,22.399020807833537
E01000374,25.08196721311475
E01000375,34.710743801652896
E01000376,28.205128205128204
E01000377,50.90909090909091
E01000378,10.476190476190476
E01000379,32.09013209013209
E01000380,-2.748414376321353
E01000381,13.88888888888889
E01000382,28.650485436893202
E01000383,0.05780346820809249
E01000384,32.03125
E01000385,4.62046204620462
E01000386,4.316546762589928
E01000387,24.421296296296298
E01000388,12.0
E01000389,-1.1976047904191618
E01000390,50.0
E01000391,23.14540059347181
E01000392,-16.281138790035588
E01000393,10.921052631578949
E01000394,17.655172413793103
E01000395,16.74418604651163
E01000396,22.99001260299305
E01000398,19.047619047619047
E01000399,14.619883040935672
E01000400,-15.0
E01000401,13.288590604026846
E01000402,9.895833333333332
E01000403,-0.6085192697768762
E01000404,2.5056947608200453
E01000405,39.37282229965157
E01000406,-16.867469879518072
E01000407,2.941176470588235
E01000408,25.166666666666664
E01000409,27.7027027027027
E01000410,20.388349514563107
E01000411,24.342105263157894
E01000412,33.07692307692307
E01000413,29.64311726147123
E01000414,35.0
E01000415,21.978021978021978
E01000416,
E01000417,18.29268292682927
E01000418,9.401709401709402
E01000419,1.96319018404908
E01000420,38.88888888888889
E01000421,22.15568862275449
E01000422,
E01000423,16.666666666666664
E01000424,4.114189756507137
E01000425,26.879699248120303
E01000426,22.761194029850746
E01000427,6.22154779969651
E01000428,8.296943231441048
E01000429,42.098765432098766
E01000430,26.878130217028378
E01000431,
E01000432,39.39605145532508
E01000433,25.984251968503933
E01000434,38.92988929889299
E01000435,33.89830508474576
E01000436,16.5266106442577
E01000437,18.58974358974359
E01000438,12.388059701492537
E01000439,20.17268445839874
E01000440,17.647058823529413
E01000441,27.86885245901639
E01000442,14.903432156476812
E01000443,18.27889447236181
E01000444,2.4896265560165975
E01000445,31.494252873563216
E01000446,19.718309859154928
E01000447,5.960264900662252
E01000448,3.8793103448275863
E01000449,30.952380952380953
E01000450,27.631578947368425
E01000451,32.816901408450704
E01000452,18.193069306930692
E01000453,3.241296518607443
E01000454,21.12676056338028
E01000455,25.984251968503933
E01000456,16.343825665859566
E01000457,4.97737556561086
E01000458,13.44130158967087
E01000459,-3.4722222222222223
E01000460,30.335171828595676
E01000461,16.704805491990847
E01000462,32.69230769230769
E01000463,52.16068167985392
E01000464,
E01000465,4.166666666666666
E01000466,
E01000467,48.837209302325576
E01000468,31.28491620111732
E01000469,-4.838709677419355
E01000470,
E01000471,
E01000472,35.21400778210117
E01000473,22.916666666666664
E01000474,
E01000475,-11.987041036717063
E01000476,
E01000477,51.65876777251185
E01000478,16.304347826086957
E01000479,29.96389891696751
E01000480,31.84931506849315
E01000481,15.448504983388705
E01000482,8.59375
E01000483,18.51851851851852
E01000484,
E01000485,
E01000486,12.318840579710146
E01000487,-10.171730515191546
E01000488,65.5917935507613
E01000489,-22.463768115942027
E01000490,-10.396415856634265
E01000491,-23.452768729641694
E01000492,0.8648648648648649
E01000493,46.63157894736842
E01000494,-5.090909090909091
E01000495,-40.35087719298245
E01000497,
E01000498,
E01000499,
E01000501,20.926517571884983
E01000502,-23.076923076923077
E01000503,17.327117327117328
E01000504,10.50228310502283
E01000505,
E01000506,
E01000507,31.28491620111732
E01000508,-3.784477228992944
E01000509,
E01000510,
E01000511,
E01000512,12.650602409638553
E01000513,14.476190476190476
E01000514,82.8125
E01000515,27.177700348432055
E01000516,11.864406779661017
E01000517,13.360323886639677
E01000518,30.30888030888031
E01000519,
E01000520,40.625
E01000521,
E01000522,0.0
E01000523,62.03703703703704
E01000524,-17.84037558685446
E01000525,42.77555682467162
E01000526,
E01000527,22.87719298245614
E01000528,47.36263736263736
E01000530,50.51546391752577
E01000531,37.25628211445062
E01000532,7.608695652173914
E01000533,81.70731707317073
E01000534,50.0
E01000535,6.379155435759209
E01000536,12.121212121212121
E01000538,36.34551495016611
E01000539,22.813688212927758
E01000540,-2.786377708978328
E01000541,
E01000543,2.2608695652173916
E01000544,-34.21052631578947
E01000545,13.966480446927374
E01000546,38.82863340563991
E01000547,20.413223140495866
E01000548,-1.1627906976744187
E01000549,10.326095238095238
E01000550,
E01000551,11.650485436893204
E01000552,14.574468085106382
E01000553,79.8941798941799
E01000554,8.374233128834357
E01000555,100.70671378091873
E01000556,6.134078212290503
E01000557,16.027227722772277
E01000558,36.217948717948715
E01000559,9.224361401567005
E01000560,51.30193308550186
E01000561,-10.305343511450381
E01000562,31.868131868131865
E01000563,13.263157894736842
E01000564,8.991825613079019
E01000565,-1.597817614964926
E01000566,25.0
E01000567,-21.50537634408602
E01000568,
E01000569,-0.38167938931297707
E01000570,
