Postcode,Avg asking rent (pm),Avg. household income
N9 9,,"45,700"
NE1 2,"1,096","32,700"
NE1 3,,"31,800"
NE1 4,"1,592","31,100"
NE1 5,"1,292","31,100"
NE1 6,,"31,400"
NE10 0,,"32,000"
NE10 8,,"35,000"
NE10 9,,"31,000"
NE11 0,,"39,200"
NE11 9,,"36,800"
NE12 6,,"37,800"
NE12 7,,"38,400"
NE12 8,,"37,500"
NE12 9,,"43,800"
NE13 6,,"40,300"
NE13 7,,"45,500"
NE13 9,"1,238","46,200"
NE15 0,,"58,100"
NE15 6,,"32,000"
NE15 7,,"33,500"
NE15 8,,"34,900"
NE15 9,,"35,600"
NE16 3,,"39,100"
NE16 4,,"41,300"
NE16 5,,"43,400"
NE16 6,,"41,300"
NE17 7,,"36,500"
NE18 0,,"59,500"
NE19 1,,"41,200"
NE2 1,"1,579","37,400"
NE2 2,"2,572","42,700"
NE2 3,"2,090","46,900"
NE2 4,"1,644","34,800"
NE20 0,,"54,600"
NE20 9,,"53,900"
NE21 4,,"36,100"
NE21 5,,"34,100"
NE21 6,,"35,700"
NE22 5,,"34,700"
NE22 6,,"42,400"
NE22 7,,"35,200"
NE23 1,,"39,000"
NE23 2,,"38,400"
NE23 3,,"50,500"
NE23 6,,"37,300"
NE23 7,,"36,300"
NE23 8,,"34,100"
NE24 2,,"32,900"
NE24 3,,"39,800"
NE24 4,,"37,500"
NE24 5,,"28,000"
NE25 0,,"38,000"
NE25 8,,"45,200"
NE25 9,,"47,300"
NE26 1,,"53,300"
NE26 2,,"46,800"
NE26 3,,"54,500"
NE26 4,,"42,700"
NE27 0,,"42,100"
NE28 0,,"31,400"
NE28 6,,"34,200"
NE28 7,,"34,900"
NE28 8,,"35,500"
NE28 9,,"35,300"
NE29 0,,"35,200"
NE29 6,,"32,200"
NE29 7,,"29,900"
NE29 8,,"34,300"
NE29 9,,"43,600"
NE3 1,"1,186","56,700"
NE3 2,949,"44,400"
NE3 3,,"40,400"
NE3 4,"1,230","48,200"
NE3 5,,"56,800"
NE30 1,,"41,500"
NE30 2,,"44,800"
NE30 3,,"45,400"
NE30 4,,"45,200"
NE31 1,,"36,900"
NE31 2,,"34,900"
NE32 3,,"29,600"
NE32 4,,"32,900"
NE32 5,,"32,700"
NE33 1,,"29,500"
NE33 2,,"33,400"
NE33 3,,"34,400"
NE33 4,,"32,400"
NE33 5,,"28,700"
NE34 0,,"32,700"
NE34 6,,"37,700"
NE34 7,,"33,200"
NE34 8,,"31,900"
NE34 9,,"29,500"
NE35 9,,"35,700"
NE36 0,,"44,800"
NE37 1,,"34,800"
NE37 2,,"32,100"
NE37 3,,"33,600"
NE38 0,,"39,200"
NE38 7,,"37,000"
NE38 8,,"41,200"
NE38 9,,"43,900"
NE39 1,,"40,800"
NE39 2,,"36,200"
NE4 5,"1,268","33,500"
NE4 6,,"31,400"
NE4 8,,"30,900"
NE4 9,,"35,000"
NE40 3,,"41,900"
NE40 4,,"40,700"
NE42 5,,"40,400"
NE42 6,,"43,000"
NE43 7,,"49,700"
NE45 5,,"50,000"
NE46 1,,"42,800"
NE46 2,,"42,800"
NE46 3,,"42,800"
NE46 4,,"43,600"
NE47 9,,"42,500"
NE49 9,,"36,900"
NE5 1,,"38,200"
NE5 2,,"34,700"
NE5 3,,"35,600"
NE5 4,,"35,200"
NE5 5,,"37,300"
NE6 1,,"32,100"
NE6 2,,"30,500"
NE6 3,,"28,400"
NE6 4,,"32,200"
NE6 5,"1,494","36,700"
NE61 1,,"38,700"
NE61 2,,"47,700"
NE61 3,,"50,900"
NE61 5,,"36,500"
NE61 6,,"46,400"
NE62 5,,"34,100"
NE63 0,,"33,100"
NE63 8,,"36,000"
NE63 9,,"32,100"
NE64 6,,"29,500"
NE65 0,,"38,800"
NE65 7,,"42,900"
NE65 8,,"46,400"
NE65 9,,"39,000"
NE66 1,,"36,000"
NE66 2,,"43,000"
NE66 3,,"48,000"
NE66 4,,"41,200"
NE67 5,,"37,400"
NE68 7,,"36,500"
NE7 7,"1,110","52,100"
NE70 7,,"36,700"
NE71 6,,"36,500"
NE8 1,,"32,800"
NE8 2,978,"34,900"
NE8 3,844,"36,700"
NE8 4,731,"36,800"
NE9 5,,"40,500"
NE9 6,,"39,400"
NE9 7,,"33,700"
NG1 1,"1,375","39,500"
NG1 3,"1,397","31,700"
NG1 4,"1,890","29,400"
NG1 5,"1,251","37,800"
NG1 6,889,"43,700"
NG1 7,"1,444","43,600"
NG10 1,773,"37,300"
NG10 2,,"38,900"
NG10 3,,"41,100"
NG10 4,,"39,700"
NG10 5,,"39,700"
NG11 0,,"45,200"
NG11 6,978,"47,800"
NG11 7,,"43,200"
NG11 8,922,"33,900"
NG11 9,,"33,600"
NG12 1,,"46,600"
NG12 2,,"46,900"
NG12 3,,"46,000"
NG12 4,,"54,500"
NG12 5,,"48,600"
NG13 0,,"46,700"
NG13 7,,
NG13 8,"1,036","47,000"
NG13 9,,"50,600"
NG14 5,,"48,600"
NG14 6,,"42,000"
NG14 7,,"52,900"
NG15 0,,"45,400"
NG15 6,,"38,200"
NG15 7,818,"37,500"
NG15 8,,"43,900"
NG15 9,,"49,400"
NG16 1,,"42,500"
NG16 2,,"41,400"
NG16 3,799,"35,000"
NG16 4,,"36,700"
NG16 5,,"36,800"
NG16 6,,"38,200"
NG17 1,,"37,800"
NG17 2,,"34,900"
NG17 3,,"35,300"
NG17 4,733,"37,000"
NG17 5,,"33,600"
NG17 7,,"36,300"
NG17 8,,"36,400"
NG17 9,,"39,700"
NG18 1,,"35,500"
NG18 2,755,"35,400"
NG18 3,,"38,600"
NG18 4,,"47,700"
NG18 5,756,"38,900"
NG19 0,,"40,000"
NG19 6,,"36,500"
NG19 7,,"36,000"
NG19 8,809,"37,100"
NG19 9,,"37,800"
NG2 2,"1,410","37,800"
NG2 3,"1,082","41,700"
NG2 4,"1,134","35,000"
NG2 5,"1,740","58,600"
NG2 6,"1,400","54,800"
NG2 7,"1,512","52,900"
NG20 0,,"33,400"
NG20 8,,"35,500"
NG20 9,,"35,900"
NG21 0,,"36,700"
NG21 9,,"41,200"
NG22 0,,"42,500"
NG22 8,,"44,100"
NG22 9,737,"36,100"
NG23 5,,"46,600"
NG23 6,,"45,900"
NG23 7,,"44,300"
NG24 1,689,"38,600"
NG24 2,,"40,200"
NG24 3,793,"41,200"
NG24 4,,"38,500"
NG24 5,,
NG25 0,,"45,900"
NG3 1,"2,071","27,100"
NG3 2,,"33,200"
NG3 3,,"35,400"
NG3 4,858,"34,800"
NG3 5,"1,034","46,400"
NG3 6,"1,187","43,800"
NG3 7,,"36,700"
NG31 6,693,"40,200"
NG31 7,829,"36,700"
NG31 8,,"41,800"
NG31 9,,"40,100"
NG32 1,,"43,900"
NG32 2,,"44,100"
NG32 3,,"44,700"
NG33 4,,"45,400"
NG33 5,,"42,600"
NG34 0,,"42,100"
NG34 7,,"40,000"
NG34 8,,"44,900"
NG34 9,,"41,900"
NG4 1,,"38,300"
NG4 2,,"37,900"
NG4 3,,"40,200"
NG4 4,,"42,700"
NG5 1,992,"38,000"
NG5 2,872,"44,800"
NG5 3,,"42,100"
NG5 4,,"49,200"
NG5 5,"1,016","35,100"
NG5 6,,"41,200"
NG5 7,,"39,100"
NG5 8,,"40,400"
NG5 9,,"36,700"
NG6 0,897,"34,800"
NG6 7,,"32,000"
NG6 8,864,"32,900"
NG6 9,,"33,800"
NG7 1,"2,625","39,300"
NG7 2,"2,251","31,200"
NG7 3,"1,464","30,300"
NG7 4,"1,663","30,300"
NG7 5,974,"30,700"
NG7 6,"1,611","33,300"
NG7 7,,"39,300"
NG8 1,"1,976","43,000"
NG8 2,"1,315","47,700"
NG8 3,,"35,300"
NG8 4,,"34,900"
NG8 5,,"35,500"
NG8 6,,"33,700"
NG9 1,"1,281","42,100"
NG9 2,"1,704","41,700"
NG9 3,,"50,700"
NG9 4,,"43,300"
NG9 5,,"43,100"
NG9 6,,"50,900"
NG9 7,,"39,000"
NG9 8,,"36,400"
NN1 1,874,"40,900"
NN1 2,,"36,900"
NN1 3,895,"41,500"
NN1 4,881,"44,700"
NN1 5,936,"44,200"
NN10 0,989,"40,600"
NN10 6,,"41,400"
NN10 8,,"44,700"
NN10 9,,"43,600"
NN11 0,,"48,100"
NN11 2,,"47,200"
NN11 3,,"47,100"
NN11 4,,"41,000"
NN11 6,,"47,000"
NN11 8,,"48,100"
NN11 9,,"40,600"
NN12 6,,"48,800"
NN12 7,,"49,300"
NN12 8,,"52,900"
NN13 5,,"53,400"
NN13 6,,"51,200"
NN13 7,,"48,500"
NN14 1,,"45,800"
NN14 2,,"43,600"
NN14 3,,"48,300"
NN14 4,"1,317","47,200"
NN14 6,"1,026","40,900"
NN15 5,"1,165","45,200"
NN15 6,,"42,100"
NN15 7,,"39,700"
NN16 0,,"37,800"
NN16 8,916,"39,100"
NN16 9,970,"42,400"
NN17 1,,"42,200"
NN17 2,,"38,800"
NN17 3,,"46,400"
NN18 0,,"37,400"
NN18 8,"1,059","47,900"
NN18 9,,"39,700"
NN2 6,996,"39,700"
NN2 7,"1,116","41,000"
NN2 8,,"41,800"
NN29 7,,"42,800"
NN3 2,,"41,600"
NN3 3,,"50,400"
NN3 5,,"41,900"
NN3 6,,"43,900"
NN3 7,,"48,000"
NN3 8,,"41,700"
NN3 9,,"46,300"
NN4 0,,"54,900"
NN4 5,,"52,000"
NN4 6,,"55,800"
NN4 8,"1,070","44,300"
NN4 9,,"51,100"
NN5 4,,"54,300"
NN5 5,"1,072","41,700"
NN5 6,"1,195","45,100"
NN5 7,,"36,400"
NN6 0,,"44,800"
NN6 6,,"50,900"
NN6 7,,"49,500"
