LSOA11CD,average_price,airbnb_density,Price_Change,People per Sq Km,Income Score (rate),hotel_density,tourist_attraction_density,AvPTAI2015,Cluster
E01000030,-0.3728968699997416,-0.5440664073207253,21.28,8365.3510303877,0.264,-0.1501929903248339,-0.09186933123590706,4.82101,2
E01000031,0.08028726144357322,-0.5294382009762636,17.5,2106.69828097214,0.126,-0.1501929903248339,-0.09186933123590706,4.07693,2
E01000032,-0.3015478112430951,-0.5086007674556211,44.73684210526316,5219.70705725699,0.146,-0.1501929903248339,-0.09186933123590706,6.6856,2
E01000033,-0.18942786176836499,-0.5159281949349108,8.333333333333332,10894.7006194081,0.257,-0.1501929903248339,-0.09186933123590706,3.91504,3
E01000034,-0.46815962427372554,-0.5333192484895586,34.36734693877551,3181.46417445483,0.216,-0.1501929903248339,-0.09186933123590706,3.51145,2
E01000035,-0.17108096094522732,-0.4495067624629237,16.37239165329053,4671.36741374969,0.15,-0.1501929903248339,-0.09186933123590706,6.7778,2
E01000036,-0.38465770386072723,-0.5443634592197225,23.134328358208958,3518.03200382135,0.112,0.04185325990788905,-0.09186933123590706,7.34586,1
E01000037,0.3445139955203847,-0.5385349320131594,13.725490196078432,8016.28106255356,0.096,-0.1501929903248339,-0.09186933123590706,2.32273,1
E01000038,-0.328205701327996,-0.5535450396765175,25.2054794520548,6644.85981308411,0.127,-0.1501929903248339,-0.09186933123590706,8.36135,2
E01000039,-0.4646313741154298,-0.5699474834425552,22.595419847328245,1122.20916568743,0.127,-0.1501929903248339,-0.09186933123590706,1.99736,2
E01000040,-0.47874437474861264,-0.5487036242137825,14.496376811594203,10556.5319273579,0.218,-0.1501929903248339,-0.09186933123590706,9.00812,2
E01000041,-0.39877070449391006,-0.5192505981856563,21.774193548387096,11861.0747051114,0.172,-0.1501929903248339,-0.09186933123590706,5.72093,2
E01000042,-0.2171834296802912,-0.4854137375104037,-14.653784219001611,8750.0,0.263,-0.1501929903248339,-0.09186933123590706,8.48745,3
E01000043,-0.1706105275907879,-0.5268560808290662,9.329446064139942,5750.75075075075,0.147,-0.1501929903248339,-0.09186933123590706,7.26782,2
E01000044,-0.22376949664244314,-0.43349049241469195,21.21212121212121,12051.5826494725,0.133,-0.1501929903248339,-0.09186933123590706,8.7118,2
E01000045,-0.31409270069481315,-0.47807605625839406,24.87644151565074,6047.60308414348,0.188,-0.1501929903248339,-0.09186933123590706,7.08704,2
E01000046,-0.07887602347509964,-0.5468436736273642,15.66265060240964,12443.729903537,0.17,-0.1501929903248339,-0.09186933123590706,6.09177,2
E01000048,-0.21530169626253348,-0.44625596383055355,14.496376811594203,13570.3245749614,0.341,-0.1501929903248339,-0.09186933123590706,8.13742,3
E01000049,0.05378618247681873,-0.45895366500506096,14.496376811594203,8543.82657869934,0.29,-0.1501929903248339,-0.09186933123590706,7.73561,3
E01000050,-0.21906516309804888,-0.36763865117221844,-8.557625948930296,14335.5119825708,0.176,-0.1501929903248339,-0.09186933123590706,23.446,3
E01000051,0.03254240257634356,0.7800542711581103,14.496376811594203,15307.3463268366,0.234,-0.1501929903248339,-0.09186933123590706,13.4392,3
E01000052,-0.2545044757991524,-0.45157921364772885,23.754152823920265,11547.3209814722,0.188,-0.1501929903248339,-0.09186933123590706,7.91239,2
E01000053,-0.102397691197071,-0.5271668677799324,14.496376811594203,8993.91929242676,0.229,-0.1501929903248339,-0.09186933123590706,5.84284,2
E01000054,-0.38465770386072723,-0.47798759143951913,38.240574506283664,11419.3925233645,0.18,-0.1501929903248339,-0.09186933123590706,6.31438,2
E01000055,-0.6669177165243834,-0.5725994432136124,27.3015873015873,11705.4794520548,0.211,-0.1501929903248339,-0.09186933123590706,7.7862,2
E01000056,-0.463690507406551,-0.4913501093542847,5.833333333333333,6818.55500821018,0.197,0.1813760438189803,-0.09186933123590706,1.62771,2
E01000057,-0.6669177165243834,-0.5725994432136124,29.471890971039183,10528.0974949221,0.196,-0.1501929903248339,-0.09186933123590706,9.98087,2
E01000058,-0.47051179104592267,-0.48377072745711536,23.47826086956522,11125.1372118551,0.199,-0.1501929903248339,-0.09186933123590706,7.25869,2
E01000059,-0.3305578681001931,-0.5339506095988126,33.223684210526315,7950.07201152184,0.176,-0.1501929903248339,-0.09186933123590706,5.43468,2
E01000060,-0.19125732481340718,-0.5064498842544966,22.04424103737605,3584.28805237316,0.202,-0.1501929903248339,-0.09186933123590706,4.72838,2
E01000061,-0.35466757751521377,-0.5124720930513645,14.496376811594203,3066.33906633907,0.303,-0.1501929903248339,-0.09186933123590706,7.36381,2
E01000062,-0.16187390815119854,-0.30399678533701674,38.30508474576271,11003.163126977,0.143,-0.1501929903248339,-0.09186933123590706,4.4875,2
E01000063,-0.3235013677836017,-0.5282712747765907,25.396825396825395,10126.9315673289,0.181,-0.1501929903248339,-0.09186933123590706,7.42822,2
E01000064,0.0646061496289256,-0.4952872312082076,29.64426877470356,10608.2375478927,0.208,-0.1501929903248339,-0.09186933123590706,4.11487,2
E01000065,-0.10867013592292994,-0.5026197085496129,15.483870967741936,7624.14383561644,0.228,-0.1501929903248339,-0.09186933123590706,5.82993,2
E01000066,-0.12780109233680007,-0.4409559918753183,26.631853785900784,9244.58962841976,0.147,-0.1501929903248339,-0.09186933123590706,3.48363,2
E01000067,-0.07887602347509964,-0.5094389386910981,10.526315789473683,11968.8311688312,0.132,-0.1501929903248339,-0.09186933123590706,5.81071,2
E01000068,-0.3752490367719387,-0.5134025892963584,23.863636363636363,4621.72505151604,0.123,-0.1501929903248339,-0.09186933123590706,16.9529,1
E01000069,1.3700587081983358,-0.5311836196522681,18.712273641851105,9581.04738154613,0.087,-0.1501929903248339,-0.09186933123590706,8.91029,1
E01000070,0.11870598538945971,-0.5419382083462977,38.88888888888889,5681.47013782542,0.11,-0.1501929903248339,-0.09186933123590706,9.08794,1
E01000071,-0.2173178392101311,-0.438061761626839,17.732558139534884,9830.007390983,0.13,-0.1501929903248339,-0.09186933123590706,8.50495,2
E01000072,-0.3964185377217129,-0.5571163521032723,17.966101694915253,4136.87043444829,0.241,-0.1501929903248339,-0.09186933123590706,3.4708,2
E01000073,-0.34545492432410835,-0.4725107241360421,17.46031746031746,6120.87139845397,0.209,-0.1501929903248339,-0.09186933123590706,3.68102,2
E01000074,-0.47874437474861264,-0.42510990826397704,25.666666666666664,10036.5408038977,0.234,-0.1501929903248339,-0.09186933123590706,5.22423,2
E01000075,-0.22235819657912487,-0.5412492856703295,36.91275167785235,3678.00541167375,0.196,-0.1501929903248339,-0.09186933123590706,9.06998,2
E01000076,-0.1933481397220268,-0.4448365009435652,29.15254237288136,11331.9349764027,0.208,-0.1501929903248339,-0.09186933123590706,5.92267,2
E01000077,-0.6669177165243834,-0.5725994432136124,26.551724137931032,9125.43153049482,0.251,-0.1501929903248339,-0.09186933123590706,7.48654,2
E01000078,-0.31409270069481315,-0.5254939944699536,20.0,10853.2423208191,0.228,-0.1501929903248339,-0.09186933123590706,6.90947,2
E01000079,-0.46086790727991445,-0.4812243296069267,25.838926174496645,5746.12403100775,0.227,-0.1501929903248339,-0.09186933123590706,5.87476,2
E01000080,-0.4434618731656556,-0.5378692737793682,29.03225806451613,7012.53782965845,0.19,-0.1501929903248339,-0.09186933123590706,5.88791,2
E01000081,-0.6669177165243834,-0.5725994432136124,18.73990306946688,10134.5532831001,0.162,-0.1501929903248339,-0.09186933123590706,4.9585,2
E01000082,-0.6669177165243834,-0.5478341730260026,33.68421052631579,12993.1549471064,0.158,-0.1501929903248339,-0.09186933123590706,4.94285,2
E01000083,-0.6669177165243834,-0.5274667612455621,7.578124999999999,10872.7070594775,0.196,-0.1501929903248339,-0.09186933123590706,7.38619,2
