LSOA11CD,hotel_count,area_km2,hotel_density
E01000129,0.0,0.17327633077348265,0.0
E01000130,0.0,0.1763740477198621,0.0
E01000131,0.0,0.3341851550769073,0.0
E01000132,0.0,0.15300403467196583,0.0
E01000133,0.0,0.15936824500411412,0.0
E01000134,0.0,0.16029775300244606,0.0
E01000135,0.0,0.3337073323491737,0.0
E01000136,0.0,0.5201783159878041,0.0
E01000137,0.0,0.12357233516678957,0.0
E01000138,1.0,0.25894190932467664,3.861870033352311
E01000139,1.0,0.35318656240006796,2.8313647982656307
E01000140,0.0,0.14427233595070005,0.0
E01000141,2.0,0.36954088156825066,5.412121093375211
E01000142,0.0,0.19975443814732588,0.0
E01000143,0.0,0.17138726971943696,0.0
E01000144,1.0,0.19209982398817366,5.205626841498634
E01000145,1.0,0.2098368495832297,4.765607194285291
