,GSS_CODE,WARD,Airbnb_price,Airbnb_availability_365,Reviews_per_month,Review_scores_value,Airbnb_count,Houseprice_median,Housesales_median,Population,Population_per_hectare,Population_per_square_kilometre
125,E05000151,Coulsdon West,170.0,268.0,0.5,4.6899999999999995,16,539995.0,261.0,17862.0,35.75975976,3575.975976
126,E05000152,Croham,55.0,247.0,1.03,4.85,37,350000.0,275.0,17539.0,49.78427477,4978.427477
127,E05000153,Fairfield,107.0,250.0,0.69,4.67,121,339000.0,587.0,34791.0,92.4063745,9240.63745
128,E05000154,Fieldway,55.0,363.0,0.08,4.67,3,294500.0,42.0,12215.0,82.25589226,8225.589226
129,E05000155,Heathfield,59.5,313.0,0.575,4.75,8,328500.0,194.0,13372.0,15.35246843,1535.246843
130,E05000156,Kenley,109.5,186.0,0.36,4.9,8,430000.0,192.0,16009.0,24.78173375,2478.173375
131,E05000157,New Addington,44.0,289.0,0.71,4.82,5,325000.0,55.0,12087.0,49.78171334,4978.171334
132,E05000158,Norbury,65.0,274.0,0.58,4.68,51,428000.0,133.0,18468.0,73.28571429,7328.571429
133,E05000159,Purley,95.0,266.0,0.845,4.8100000000000005,26,436350.0,212.0,17084.0,40.93937215,4093.937215
134,E05000160,Sanderstead,62.0,269.0,1.0,4.87,5,525000.0,173.0,13145.0,20.71383549,2071.383549
135,E05000161,Selhurst,70.0,231.0,0.7,4.73,47,300000.0,191.0,19554.0,85.87615283,8587.615283
136,E05000162,Selsdon and Ballards,67.0,269.0,1.0,4.8,17,451500.0,136.0,12657.0,19.75803934,1975.803934
137,E05000163,Shirley,52.0,247.5,0.77,4.855,12,450000.0,146.0,14293.0,51.04642857,5104.642857
138,E05000164,South Norwood,85.0,175.0,0.78,4.72,55,320000.0,265.0,17583.0,73.84712306,7384.712306
139,E05000165,Thornton Heath,40.5,250.5,0.575,4.75,76,340000.0,193.0,17764.0,105.6751933,10567.51933
140,E05000166,Upper Norwood,66.0,178.0,0.515,4.8,62,414075.0,178.0,17006.0,64.90839695,6490.839695
141,E05000167,Waddon,80.0,239.5,0.645,4.83,32,315000.0,185.0,18824.0,51.65751921,5165.751921
142,E05000168,West Thornton,65.0,269.0,0.26,4.6,25,330000.0,111.0,19801.0,100.3090172,10030.90172
143,E05000169,Woodside,65.5,187.5,0.56,4.76,60,370000.0,207.0,17299.0,79.82925704,7982.925704
144,E05000170,Acton Central,82.0,257.0,0.79,4.67,149,557000.0,119.0,16933.0,95.3971831,9539.71831
145,E05000171,Cleveland,85.0,167.5,0.785,4.8149999999999995,48,720000.0,109.0,16215.0,72.64784946,7264.784946
146,E05000172,Dormers Wells,47.0,231.0,2.44,4.51,7,301000.0,41.0,15344.0,67.92386012,6792.386012
147,E05000173,Ealing Broadway,119.5,194.0,0.85,4.6850000000000005,90,650000.0,184.0,17452.0,93.97953689,9397.953689
148,E05000174,Ealing Common,110.0,203.0,0.6950000000000001,4.76,86,542500.0,84.0,14332.0,66.97196262,6697.196262
149,E05000175,East Acton,102.5,208.0,0.62,4.69,204,476500.0,178.0,30612.0,71.65730337,7165.730337
150,E05000176,Elthorne,93.0,161.0,0.88,4.84,55,535000.0,140.0,17852.0,89.26,8926.0
151,E05000177,Greenford Broadway,69.0,162.5,0.46,4.8149999999999995,20,308475.0,118.0,18750.0,74.34575734,7434.575734
152,E05000178,Greenford Green,52.5,151.0,0.9299999999999999,4.82,36,459950.0,93.0,20130.0,59.53859805,5953.859805
153,E05000179,Hanger Hill,83.5,203.0,1.02,4.58,60,611250.0,134.0,16030.0,48.96151497,4896.151497
154,E05000180,Hobbayne,80.0,163.0,0.78,4.78,43,500000.0,98.0,14500.0,65.67028986,6567.028986
155,E05000181,Lady Margaret,65.0,270.0,0.52,4.82,13,408500.0,48.0,13982.0,90.85120208,9085.120208
156,E05000182,Northfield,122.0,177.0,0.97,4.9,36,723750.0,142.0,14147.0,92.16286645,9216.286645
157,E05000183,North Greenford,60.0,169.0,1.1,4.85,9,433750.0,82.0,15454.0,47.58004926,4758.004926
158,E05000184,Northolt Mandeville,72.0,253.5,0.87,4.84,12,395000.0,135.0,15785.0,57.35828488,5735.828488
159,E05000185,Northolt West End,46.5,254.5,0.53,4.715,16,310000.0,103.0,14313.0,40.3410372,4034.10372
160,E05000186,Norwood Green,84.5,232.5,0.425,4.825,26,415000.0,93.0,19109.0,50.36636795,5036.636795
161,E05000187,Perivale,65.0,129.5,1.05,4.79,34,460000.0,93.0,16058.0,47.72065379,4772.065379
162,E05000188,South Acton,99.0,243.5,0.84,4.77,136,590000.0,177.0,19390.0,112.7981385,11279.81385
163,E05000189,Southall Broadway,90.0,311.0,1.15,4.66,11,390000.0,23.0,19818.0,122.1824908,12218.24908
164,E05000190,Southall Green,64.0,186.0,0.33499999999999996,4.8149999999999995,8,350000.0,51.0,19383.0,122.2902208,12229.02208
165,E05000191,Southfield,117.0,207.0,0.7,4.75,75,735000.0,151.0,13983.0,97.44250871,9744.250871
166,E05000192,Walpole,120.0,156.0,0.65,4.62,59,740000.0,131.0,13863.0,94.56343793,9456.343793
167,E05000193,Bowes,70.0,180.0,0.57,4.87,57,495000.0,101.0,15216.0,102.4646465,10246.46465
168,E05000194,Bush Hill Park,69.0,229.0,0.79,4.75,11,518750.0,146.0,15099.0,59.77434679,5977.434679
169,E05000195,Chase,95.0,237.0,1.3599999999999999,4.85,10,405000.0,124.0,14606.0,8.620160529,862.0160529
170,E05000196,Cockfosters,100.0,303.0,0.34,4.8,25,535000.0,243.0,17317.0,16.6397617,1663.97617
171,E05000197,Edmonton Green,107.5,191.0,0.675,4.795,26,274000.0,73.0,19329.0,61.77372963,6177.372963
172,E05000198,Enfield Highway,95.0,258.0,0.68,4.89,21,337000.0,75.0,16980.0,36.6027161,3660.27161
173,E05000199,Enfield Lock,111.0,261.0,0.64,4.77,14,282500.0,146.0,18469.0,56.81021224,5681.021224
174,E05000200,Grange,150.0,339.0,0.39,4.6,31,603000.0,148.0,14846.0,45.1795496,4517.95496
175,E05000201,Haselbury,50.0,94.0,1.57,4.85,17,358500.0,97.0,17639.0,98.15804118,9815.804118
176,E05000202,Highlands,91.0,180.0,0.96,4.83,15,448500.0,178.0,15527.0,30.51690252,3051.690252
177,E05000203,Jubilee,31.0,127.0,0.93,4.74,17,355000.0,121.0,14783.0,37.7309852,3773.09852
178,E05000204,Lower Edmonton,40.0,240.0,0.93,4.73,15,347500.0,81.0,17869.0,82.15632184,8215.632184
179,E05000205,Palmers Green,81.5,177.0,0.98,4.775,34,500000.0,123.0,16682.0,85.94538897,8594.538897
180,E05000206,Ponders End,60.0,253.0,1.22,4.83,32,350000.0,98.0,18104.0,51.06911142,5106.911142
181,E05000207,Southbury,89.0,281.0,0.64,4.5,21,380000.0,123.0,16199.0,56.56075419,5656.075419
182,E05000208,Southgate,60.0,224.5,0.675,4.84,34,425000.0,133.0,16359.0,60.79152731,6079.152731
183,E05000209,Southgate Green,87.5,220.5,0.655,4.925,26,670000.0,101.0,16827.0,64.29881544,6429.881544
184,E05000210,Town,92.0,307.0,0.3,4.83,19,488000.0,173.0,16182.0,72.46753247,7246.753247
