LSOA11CD,average_price,airbnb_density,Price_Change,People per Sq Km,Income Score (rate),hotel_density,tourist_attraction_density,AvPTAI2015
E01000789,71.5,14.05030896532477,-39.2,14156.2064156206,0.287,0.0,0.0,5.12375
E01000790,99.37777777777778,93.04589654432904,-7.088284206213396,4786.86635944701,0.079,1.938456178006855,0.0,21.7193
E01000791,63.0,4.974016493502145,27.906976744186046,3601.89573459716,0.053,0.0,0.0,5.40641
E01000792,133.66666666666666,9.532947247979484,34.177215189873415,4686.51044965168,0.137,0.0,0.0,4.3915
E01000793,0.0,2.12244755533252,9.322033898305085,3040.49710734947,0.025,0.0,0.0,5.32948
E01000794,47.0,2.176546603196276,31.732418524871356,3354.88041370394,0.03,0.0,0.0,5.19259
E01000795,50.0,3.469883225237612,29.496402877697843,4867.03988803359,0.107,0.0,0.0,2.99055
E01000796,0.0,0.0,9.215017064846416,16733.8709677419,0.239,0.0,0.0,13.5919
E01000797,124.14285714285714,13.694331516548775,2.359208523592085,2580.49748206928,0.055,0.0,0.0,13.1399
E01000798,143.0,45.05662130968828,25.78125,11516.2721893491,0.281,0.0,0.0,14.3556
E01000799,81.88888888888889,50.62932374976776,-18.446601941747574,8690.42110134197,0.116,0.0,0.0,17.9432
E01000800,81.54545454545455,60.50210203485955,22.54237288135593,8074.42665512765,0.182,0.0,0.0,14.3168
E01000801,358.4,42.60144219195608,6.555673878600556,8893.08855291577,0.115,0.0,0.0,15.2094
E01000802,153.23076923076923,80.19341363051377,10.006155198944825,9713.66828741221,0.134,0.0,0.0,16.6572
E01000803,108.14285714285714,54.38480802218893,38.29545454545455,6559.38697318008,0.116,0.0,0.0,12.0387
E01000804,136.0,6.000902075852267,-1.875,2344.33891150309,0.05,0.0,0.0,5.26206
E01000805,92.25,69.99881484163288,20.30075187969925,11288.9165628892,0.133,0.0,0.0,13.6843
E01000806,67.0,73.20741704299041,19.72833333333333,12086.3746958637,0.19,0.0,0.0,17.9533
E01000807,66.33333333333333,3.6961808139871977,60.03722943722944,2054.70896827379,0.039,0.0,0.0,7.3957
E01000808,0.0,0.0,11.740890688259109,4760.33553025764,0.051,0.0,0.0,3.24554
E01000809,133.0,1.8226334621070148,73.51351351351352,2774.50257921886,0.027,0.0,0.0,5.78398
E01000810,195.0,5.389587605560138,27.73805043281897,4050.56481979559,0.016,0.0,0.0,8.26036
E01000811,45.0,3.383712537116247,26.903553299492383,4534.4943067649,0.031,0.0,0.0,10.7998
E01000812,31.0,2.612267784277194,54.32098765432099,4146.91943127962,0.08,0.0,0.0,7.65251
E01000813,297.0,3.2757660660943944,38.305501485503534,2706.24897490569,0.029,0.0,0.0,5.27963
E01000814,35.0,2.092616695738862,37.15228070175439,2968.7827362246,0.018,0.0,0.0,11.9807
E01000815,86.0,4.005546378554403,27.27272727272727,3140.63140631406,0.012,0.0,0.0,6.78654
E01000816,45.333333333333336,20.065487229164606,20.689655172413797,5056.142668428,0.084,0.0,0.0,6.94499
E01000818,43.66666666666666,3.869044869056439,10.26615969581749,1249.51971105817,0.066,0.7738089738112878,0.0,2.37689
E01000819,83.75,20.11498470692893,18.421052631578945,4481.43405889885,0.194,0.0,0.0,5.58105
E01000820,91.5,20.42697618917173,-18.97058823529412,2805.18605825897,0.138,0.0,0.0,4.79018
E01000822,91.33333333333331,13.728461743491652,1.4925373134328357,7841.3699864804,0.102,0.0,0.0,8.20768
E01000823,77.4,61.8066474836747,-0.9302325581395348,7168.57610474632,0.062,0.0,0.0,9.76816
E01000824,38.5,11.844724376100498,3.1623222748815167,8264.81257557437,0.105,0.0,0.0,15.9188
E01000825,48.0,22.93683541946584,21.008403361344534,9960.24985803521,0.103,0.0,0.0,10.3366
E01000826,357.0,1.945900994918598,36.57608695652174,3077.96217676573,0.018,0.0,0.0,2.24561
E01000827,107.125,24.01606001968121,-17.475728155339805,5328.70122928915,0.05,0.0,0.0,4.84076
